Keyword,Category,Occurrence,Comment,Where
TESCO,Groceries,24,,
SAINSBURY,Groceries,24,,
ASDA,Groceries,12,,
LIDL,Groceries,12,,
ALDI,Groceries,12,,
WAITROSE,Groceries,12,,
M&S FOOD,Groceries,12,,
TESCO EXTRA,Groceries,12,,
TESCO EXPRESS,Groceries,12,,
SAINSBURYS LOCAL,Groceries,1,,
DELIVEROO,Eating Out,12,,
UBER EATS,Eating Out,12,,
MCDONALDS,Eating Out,8,,
KFC,Eating Out,6,,
GREGGS,Eating Out,8,,
PRET A MANGER,Eating Out,6,,
PRET,Eating Out,0,,
STARBUCKS,Eating Out,12,,
COSTA COFFEE,Eating Out,12,,
COSTA,Eating Out,0,,
NANDOS,Eating Out,7,,
FIVE GUYS,Eating Out,4,,
WAGAMAMA,Eating Out,5,,
PIZZA HUT,Eating Out,3,,
PIZZA EXPRESS,Eating Out,2,,
TFL,Transport,72,,
UBER TRIP,Transport,12,,
UBER,Transport,0,Also matches UBER EATS,
TRAINLINE,Transport,1,,
PURE GYM,Bills/Subscriptions,12,,
GYM,Bills/Subscriptions,0,,
NETFLIX,Bills/Subscriptions,12,,
SPOTIFY,Bills/Subscriptions,12,,
THREE MOBILE,Bills/Subscriptions,12,,
THREE,Bills/Subscriptions,0,,
SALARY,Income,12,,
SALARY PAYMENT,Income,12,,
PAYMENT,Income,0,,
AMAZON,Shopping,8,,
AMAZON UK,Shopping,8,,
ZARA,Shopping,2,,
H&M,Shopping,1,,
PRIMARK,Shopping,1,,
SPORTS DIRECT,Shopping,1,,
JOHN LEWIS,Shopping,1,,
FLOWERS,Shopping,1,,
BOOTS,Health,5,,
BOOTS PHARMACY,Health,5,,
PHARMACY,Health,0,,
SUPERDRUG,Personal Care,4,,
LANDLORD,Housing,12,,
RENT,Housing,0,,
RENT PAYMENT,Housing,0,,
VUE CINEMA,Entertainment,1,,
VUE,Entertainment,0,,
ODEON,Entertainment,2,,
ODEON CINEMA,Entertainment,2,,
CINEMA,Entertainment,1,,
BANK TRANSFER,Transfers,2,Money movement between accounts,
TRANSFER TO SAVINGS,Transfers,2,,
RESTAURANT,Eating Out,2,,
SUMMER SALE,Shopping,1,,
CHRISTMAS,Shopping,1,,
BLACK FRIDAY,Shopping,1,,
NEW YEARS EVE,Eating Out,1,,
CHRISTMAS DINNER,Groceries,1,,
NAMESILO,Tech/Services,0,,
GOOGLE,Tech/Services,0,,
APPLE,Tech/Services,0,,
MICROSOFT,Tech/Services,0,,
ADOBE,Tech/Services,0,,
GITHUB,Tech/Services,0,,
DROPBOX,Tech/Services,0,,
NOTION,Tech/Services,0,,
HEROKU,Tech/Services,0,,
AWS,Tech/Services,0,,
DIGITALOCEAN,Tech/Services,0,,
DOMAIN,Tech/Services,0,,
HOSTING,Tech/Services,0,,
MORRISONS,Groceries,0,,
COOP,Groceries,0,,
CO-OP,Groceries,0,,
ICELAND,Groceries,0,,
OCADO,Groceries,0,,
MARKS SPENCER,Groceries,0,,
SUBWAY,Eating Out,0,,
BURGER KING,Eating Out,0,,
CAFE NERO,Eating Out,0,,
NEROS,Eating Out,0,,
LEON,Eating Out,0,,
ITSU,Eating Out,0,,
YO SUSHI,Eating Out,0,,
DISHOOM,Eating Out,0,,
PIZZA,Eating Out,0,,
CHIPOTLE,Eating Out,0,,
NOODLE,Eating Out,0,,
WASABI,Eating Out,0,,
EAT,Eating Out,0,,
JUST EAT,Eating Out,0,,
NATIONAL RAIL,Transport,0,,
RAIL,Transport,0,,
OYSTER,Transport,0,,
CITYMAPPER,Transport,0,,
TAXI,Transport,0,,
CAB,Transport,0,,
ZEN AUTO,Transport,0,,
PETROL,Transport,0,,
SHELL,Transport,0,,
BP,Transport,0,,
ESSO,Transport,0,,
TESCO PETROL,Transport,0,,
PARKING,Transport,0,,
PARKOPEDIA,Transport,0,,
NHS,Health,0,,
HOSPITAL,Health,0,,
DENTIST,Health,0,,
DOCTOR,Health,0,,
PRESCRIPTION,Health,0,,
