Order,Date,Transaction Type,Transaction Description,Amount,Balance,Category
1,01-Jan-25,Credit,Salary Payment,3500.00,3500.00,Income
2,02-Jan-25,Debit,TESCO EXTRA,-67.42,3432.58,Groceries
3,03-Jan-25,Debit,TFL TRAVEL CHARGE,-8.50,3424.08,Transport
4,03-Jan-25,Debit,COSTA COFFEE,-4.25,3419.83,Eating Out
5,05-Jan-25,Debit,LANDLORD RENT PAYMENT,-1200.00,2219.83,Housing
6,06-Jan-25,Debit,SAINSBURYS,-45.23,2174.60,Groceries
7,07-Jan-25,Debit,DELIVEROO,-23.45,2151.15,Eating Out
8,08-Jan-25,Debit,TFL TRAVEL CHARGE,-12.40,2138.75,Transport
9,09-Jan-25,Debit,PURE GYM MEMBERSHIP,-29.99,2108.76,Bills/Subscriptions
10,10-Jan-25,Debit,NETFLIX,-12.99,2095.77,Bills/Subscriptions
11,11-Jan-25,Debit,LIDL,-34.56,2061.21,Groceries
12,12-Jan-25,Debit,MCDONALDS,-8.99,2052.22,Eating Out
13,13-Jan-25,Debit,UBER TRIP,-15.60,2036.62,Transport
14,14-Jan-25,Debit,ASDA,-52.34,1984.28,Groceries
15,15-Jan-25,Debit,THREE MOBILE,-15.00,1969.28,Bills/Subscriptions
16,16-Jan-25,Debit,STARBUCKS,-5.80,1963.48,Eating Out
17,17-Jan-25,Debit,AMAZON UK,-34.99,1928.49,Shopping
18,18-Jan-25,Debit,TFL TRAVEL CHARGE,-9.20,1919.29,Transport
19,19-Jan-25,Debit,PRET A MANGER,-8.45,1910.84,Eating Out
20,20-Jan-25,Debit,TESCO EXPRESS,-28.67,1882.17,Groceries
21,22-Jan-25,Debit,GREGGS,-6.50,1875.67,Eating Out
22,23-Jan-25,Debit,WAITROSE,-76.89,1798.78,Groceries
23,24-Jan-25,Debit,VUE CINEMA,-24.50,1774.28,Entertainment
24,25-Jan-25,Debit,UBER EATS,-18.90,1755.38,Eating Out
25,26-Jan-25,Debit,TFL TRAVEL CHARGE,-11.30,1744.08,Transport
26,27-Jan-25,Debit,SAINSBURYS LOCAL,-41.20,1702.88,Groceries
27,28-Jan-25,Debit,SPOTIFY,-9.99,1692.89,Bills/Subscriptions
28,29-Jan-25,Debit,BOOTS PHARMACY,-22.45,1670.44,Health
29,30-Jan-25,Debit,KFC,-12.99,1657.45,Eating Out
30,31-Jan-25,Debit,ALDI,-38.90,1618.55,Groceries
31,01-Feb-25,Credit,Salary Payment,3500.00,5118.55,Income
32,02-Feb-25,Debit,TESCO EXTRA,-71.23,5047.32,Groceries
33,03-Feb-25,Debit,TFL TRAVEL CHARGE,-10.50,5036.82,Transport
34,04-Feb-25,Debit,COSTA COFFEE,-4.75,5032.07,Eating Out
35,05-Feb-25,Debit,LANDLORD RENT PAYMENT,-1200.00,3832.07,Housing
36,06-Feb-25,Debit,M&S FOOD,-58.34,3773.73,Groceries
37,07-Feb-25,Debit,NANDOS,-28.45,3745.28,Eating Out
38,08-Feb-25,Debit,TFL TRAVEL CHARGE,-8.90,3736.38,Transport
39,09-Feb-25,Debit,PURE GYM MEMBERSHIP,-29.99,3706.39,Bills/Subscriptions
40,10-Feb-25,Debit,NETFLIX,-12.99,3693.40,Bills/Subscriptions
41,11-Feb-25,Debit,LIDL,-42.67,3650.73,Groceries
42,12-Feb-25,Debit,FIVE GUYS,-18.50,3632.23,Eating Out
43,14-Feb-25,Debit,FLOWERS BY POST,-35.00,3597.23,Shopping
44,14-Feb-25,Debit,RESTAURANT BOOKING,-65.00,3532.23,Eating Out
45,15-Feb-25,Debit,THREE MOBILE,-15.00,3517.23,Bills/Subscriptions
46,16-Feb-25,Debit,SAINSBURYS,-48.92,3468.31,Groceries
47,17-Feb-25,Debit,UBER TRIP,-12.30,3456.01,Transport
48,18-Feb-25,Debit,TESCO EXPRESS,-31.45,3424.56,Groceries
49,19-Feb-25,Debit,STARBUCKS,-6.20,3418.36,Eating Out
50,20-Feb-25,Debit,AMAZON UK,-89.99,3328.37,Shopping
51,21-Feb-25,Debit,TFL TRAVEL CHARGE,-9.80,3318.57,Transport
52,22-Feb-25,Debit,ASDA,-54.23,3264.34,Groceries
53,23-Feb-25,Debit,WAGAMAMA,-32.50,3231.84,Eating Out
54,24-Feb-25,Debit,TRAINLINE,-45.60,3186.24,Transport
55,25-Feb-25,Debit,WAITROSE,-68.45,3117.79,Groceries
56,26-Feb-25,Debit,DELIVEROO,-21.80,3095.99,Eating Out
57,27-Feb-25,Debit,SUPERDRUG,-18.90,3077.09,Personal Care
58,28-Feb-25,Debit,SPOTIFY,-9.99,3067.10,Bills/Subscriptions
59,01-Mar-25,Credit,Salary Payment,3500.00,6567.10,Income
60,02-Mar-25,Debit,TESCO EXTRA,-63.78,6503.32,Groceries
61,03-Mar-25,Debit,TFL TRAVEL CHARGE,-11.20,6492.12,Transport
62,04-Mar-25,Debit,PRET A MANGER,-9.30,6482.82,Eating Out
63,05-Mar-25,Debit,LANDLORD RENT PAYMENT,-1200.00,5282.82,Housing
64,06-Mar-25,Debit,SAINSBURYS,-52.90,5229.92,Groceries
65,07-Mar-25,Debit,PIZZA HUT,-24.99,5204.93,Eating Out
66,08-Mar-25,Debit,TFL TRAVEL CHARGE,-10.30,5194.63,Transport
67,09-Mar-25,Debit,PURE GYM MEMBERSHIP,-29.99,5164.64,Bills/Subscriptions
68,10-Mar-25,Debit,NETFLIX,-12.99,5151.65,Bills/Subscriptions
69,11-Mar-25,Debit,LIDL,-39.45,5112.20,Groceries
70,12-Mar-25,Debit,MCDONALDS,-10.50,5101.70,Eating Out
71,13-Mar-25,Debit,UBER TRIP,-18.90,5082.80,Transport
72,14-Mar-25,Debit,ALDI,-44.56,5038.24,Groceries
73,15-Mar-25,Debit,THREE MOBILE,-15.00,5023.24,Bills/Subscriptions
74,16-Mar-25,Debit,COSTA COFFEE,-5.10,5018.14,Eating Out
75,17-Mar-25,Debit,TESCO EXPRESS,-27.89,4990.25,Groceries
76,18-Mar-25,Debit,ZARA,-78.00,4912.25,Shopping
77,19-Mar-25,Debit,TFL TRAVEL CHARGE,-9.50,4902.75,Transport
78,20-Mar-25,Debit,WAITROSE,-82.34,4820.41,Groceries
79,21-Mar-25,Debit,UBER EATS,-26.45,4793.96,Eating Out
80,22-Mar-25,Debit,M&S FOOD,-47.23,4746.73,Groceries
81,23-Mar-25,Debit,ODEON CINEMA,-28.00,4718.73,Entertainment
82,24-Mar-25,Debit,GREGGS,-7.20,4711.53,Eating Out
83,25-Mar-25,Debit,TFL TRAVEL CHARGE,-12.10,4699.43,Transport
84,26-Mar-25,Debit,ASDA,-56.78,4642.65,Groceries
85,27-Mar-25,Debit,NANDOS,-31.20,4611.45,Eating Out
86,28-Mar-25,Debit,SPOTIFY,-9.99,4601.46,Bills/Subscriptions
87,29-Mar-25,Debit,BOOTS PHARMACY,-34.50,4566.96,Health
88,30-Mar-25,Debit,KFC,-14.50,4552.46,Eating Out
89,31-Mar-25,Debit,SAINSBURYS,-49.90,4502.56,Groceries
90,01-Apr-25,Credit,Salary Payment,3500.00,8002.56,Income
91,02-Apr-25,Debit,TESCO EXTRA,-69.45,7933.11,Groceries
92,03-Apr-25,Debit,TFL TRAVEL CHARGE,-10.80,7922.31,Transport
93,04-Apr-25,Debit,STARBUCKS,-5.50,7916.81,Eating Out
94,05-Apr-25,Debit,LANDLORD RENT PAYMENT,-1200.00,6716.81,Housing
95,06-Apr-25,Debit,LIDL,-38.90,6677.91,Groceries
96,07-Apr-25,Debit,DELIVEROO,-22.30,6655.61,Eating Out
97,08-Apr-25,Debit,TFL TRAVEL CHARGE,-9.40,6646.21,Transport
98,09-Apr-25,Debit,PURE GYM MEMBERSHIP,-29.99,6616.22,Bills/Subscriptions
99,10-Apr-25,Debit,NETFLIX,-12.99,6603.23,Bills/Subscriptions
100,11-Apr-25,Debit,SAINSBURYS,-55.67,6547.56,Groceries
101,12-Apr-25,Debit,PRET A MANGER,-8.90,6538.66,Eating Out
102,13-Apr-25,Debit,UBER TRIP,-14.20,6524.46,Transport
103,14-Apr-25,Debit,WAITROSE,-73.21,6451.25,Groceries
104,15-Apr-25,Debit,THREE MOBILE,-15.00,6436.25,Bills/Subscriptions
105,16-Apr-25,Debit,COSTA COFFEE,-4.80,6431.45,Eating Out
106,17-Apr-25,Debit,AMAZON UK,-124.99,6306.46,Shopping
107,18-Apr-25,Debit,TFL TRAVEL CHARGE,-11.60,6294.86,Transport
108,19-Apr-25,Debit,TESCO EXPRESS,-33.45,6261.41,Groceries
109,20-Apr-25,Debit,WAGAMAMA,-38.90,6222.51,Eating Out
110,21-Apr-25,Debit,ALDI,-41.23,6181.28,Groceries
111,22-Apr-25,Debit,MCDONALDS,-11.99,6169.29,Eating Out
112,23-Apr-25,Debit,TFL TRAVEL CHARGE,-10.20,6159.09,Transport
113,24-Apr-25,Debit,M&S FOOD,-62.34,6096.75,Groceries
114,25-Apr-25,Debit,UBER EATS,-19.50,6077.25,Eating Out
115,26-Apr-25,Debit,H&M,-45.00,6032.25,Shopping
116,27-Apr-25,Debit,ASDA,-48.67,5983.58,Groceries
117,28-Apr-25,Debit,SPOTIFY,-9.99,5973.59,Bills/Subscriptions
118,29-Apr-25,Debit,GREGGS,-6.80,5966.79,Eating Out
119,30-Apr-25,Debit,SAINSBURYS,-51.20,5915.59,Groceries
120,01-May-25,Credit,Salary Payment,3500.00,9415.59,Income
121,02-May-25,Debit,TESCO EXTRA,-64.90,9350.69,Groceries
122,03-May-25,Debit,TFL TRAVEL CHARGE,-9.90,9340.79,Transport
123,04-May-25,Debit,COSTA COFFEE,-5.20,9335.59,Eating Out
124,05-May-25,Debit,LANDLORD RENT PAYMENT,-1200.00,8135.59,Housing
125,06-May-25,Debit,LIDL,-36.78,8098.81,Groceries
126,07-May-25,Debit,PIZZA EXPRESS,-42.50,8056.31,Eating Out
127,08-May-25,Debit,TFL TRAVEL CHARGE,-12.30,8044.01,Transport
128,09-May-25,Debit,PURE GYM MEMBERSHIP,-29.99,8014.02,Bills/Subscriptions
129,10-May-25,Debit,NETFLIX,-12.99,8001.03,Bills/Subscriptions
130,11-May-25,Debit,SAINSBURYS,-59.34,7941.69,Groceries
131,12-May-25,Debit,STARBUCKS,-6.40,7935.29,Eating Out
132,13-May-25,Debit,UBER TRIP,-16.80,7918.49,Transport
133,14-May-25,Debit,WAITROSE,-71.56,7846.93,Groceries
134,15-May-25,Debit,THREE MOBILE,-15.00,7831.93,Bills/Subscriptions
135,16-May-25,Debit,DELIVEROO,-24.90,7807.03,Eating Out
136,17-May-25,Debit,TESCO EXPRESS,-29.67,7777.36,Groceries
137,18-May-25,Debit,TFL TRAVEL CHARGE,-10.50,7766.86,Transport
138,19-May-25,Debit,ALDI,-43.21,7723.65,Groceries
