Transactions for period 15 July 2026 to 30 August 2026
Date,Time,Transaction Type,Transaction Description,Amount,Currency,Balance
15-Jul-26,03:47,Payment,SPOTIFY UK LTD,-11.99,GBP,1910.53
15-Jul-26,08:41,Purchase,PRET A MANGER 344,-5.56,GBP,1904.97
15-Jul-26,20:12,Purchase,UBER EATS,-28.06,GBP,1876.91
16-Jul-26,10:19,Purchase,COSTA COFFEE 5521,-7.82,GBP,1869.09
16-Jul-26,13:12,Purchase,M&S FOOD HALL,-16.42,GBP,1852.67
16-Jul-26,22:02,Purchase,TFL TRAVEL CHARGE,-14.04,GBP,1838.63
17-Jul-26,18:32,Purchase,TESCO EXPRESS 4471,-24.85,GBP,1813.78
18-Jul-26,06:09,Direct Debit,OCTOPUS ENERGY LTD,-45.53,GBP,1768.25
18-Jul-26,13:12,Purchase,M&S FOOD HALL,-23.32,GBP,1744.93
18-Jul-26,23:11,Purchase,UBER TRIP HELP.UBER.COM,-10.55,GBP,1734.38
19-Jul-26,09:07,Purchase,GREGGS 1188,-2.83,GBP,1731.55
19-Jul-26,12:31,Purchase,SQ *THE COFFEE JAR,-4.10,GBP,1727.45
19-Jul-26,13:12,Purchase,M&S FOOD HALL,-24.49,GBP,1702.96
19-Jul-26,18:05,Purchase,SAINSBURYS LOCAL 2210,-31.57,GBP,1671.39
19-Jul-26,20:41,Purchase,DELIVEROO,-40.92,GBP,1630.47
20-Jul-26,07:00,Payment,TRANSFER TO SAVINGS,-600.00,GBP,1030.47
20-Jul-26,13:12,Purchase,M&S FOOD HALL,-28.08,GBP,1002.39
20-Jul-26,23:11,Purchase,UBER TRIP HELP.UBER.COM,-33.94,GBP,968.45
22-Jul-26,06:11,Direct Debit,THAMES WATER,-31.20,GBP,937.25
22-Jul-26,13:12,Purchase,M&S FOOD HALL,-11.28,GBP,925.97
22-Jul-26,19:47,Purchase,TESCO EXPRESS 4471,-40.20,GBP,885.77
22-Jul-26,20:41,Purchase,DELIVEROO,-19.73,GBP,866.04
24-Jul-26,13:12,Purchase,M&S FOOD HALL,-13.37,GBP,852.67
24-Jul-26,17:23,Purchase,BOOTS 0432,-19.83,GBP,832.84
26-Jul-26,04:18,Payment,APPLE.COM/BILL,-2.99,GBP,829.85
26-Jul-26,22:02,Purchase,TFL TRAVEL CHARGE,-15.10,GBP,814.75
27-Jul-26,14:29,Purchase,AMAZON.CO.UK*2H4KL,-73.25,GBP,741.50
28-Jul-26,09:03,Credit,ACME LTD SALARY,3850.00,GBP,4591.50
28-Jul-26,20:12,Purchase,UBER EATS,-29.39,GBP,4562.11
28-Jul-26,20:41,Purchase,DELIVEROO,-16.73,GBP,4545.38
29-Jul-26,12:26,Purchase,SAINSBURYS LOCAL 2210,-8.41,GBP,4536.97
29-Jul-26,13:12,Purchase,M&S FOOD HALL,-27.17,GBP,4509.80
30-Jul-26,13:12,Purchase,M&S FOOD HALL,-11.39,GBP,4498.41
30-Jul-26,18:05,Purchase,SAINSBURYS LOCAL 2210,-15.28,GBP,4483.13
30-Jul-26,19:58,Purchase,DELIVEROO,-33.22,GBP,4449.91
31-Jul-26,09:07,Purchase,GREGGS 1188,-8.74,GBP,4441.17
31-Jul-26,12:26,Purchase,SAINSBURYS LOCAL 2210,-11.82,GBP,4429.35
01-Aug-26,00:31,Direct Debit,LANDLORD RENT PAYMENT,-1450.00,GBP,2979.35
01-Aug-26,18:32,Purchase,TESCO EXPRESS 4471,-31.98,GBP,2947.37
01-Aug-26,21:16,Purchase,AMAZON.CO.UK*2H4KL,-60.15,GBP,2887.22
02-Aug-26,18:22,Purchase | USD 24.00 | FX rate £1 = $1.2358,AMAZON US MARKETPLACE,-19.42,GBP,2867.80
03-Aug-26,06:12,Direct Debit,PURE GYM LTD,-24.99,GBP,2842.81
03-Aug-26,13:12,Purchase,M&S FOOD HALL,-13.88,GBP,2828.93
05-Aug-26,06:04,Direct Debit,THREE MOBILE,-22.00,GBP,2806.93
05-Aug-26,17:23,Purchase,BOOTS 0432,-9.85,GBP,2797.08
05-Aug-26,20:41,Purchase,DELIVEROO,-26.18,GBP,2770.90
05-Aug-26,22:02,Purchase,TFL TRAVEL CHARGE,-12.10,GBP,2758.80
06-Aug-26,09:07,Purchase,GREGGS 1188,-6.58,GBP,2752.22
06-Aug-26,09:58,Purchase,WWW.KLARNA.CO.UK,-36.00,GBP,2716.22
06-Aug-26,22:38,Purchase,UBER TRIP HELP.UBER.COM,-28.91,GBP,2687.31
07-Aug-26,12:26,Purchase,SAINSBURYS LOCAL 2210,-4.77,GBP,2682.54
08-Aug-26,06:15,Direct Debit,COUNCIL TAX LB HACKNEY,-142.00,GBP,2540.54
08-Aug-26,11:02,Purchase,LIDL GB LONDON,-49.00,GBP,2491.54
08-Aug-26,21:16,Purchase,AMAZON.CO.UK*2H4KL,-62.39,GBP,2429.15
09-Aug-26,08:41,Purchase,PRET A MANGER 344,-12.65,GBP,2416.50
10-Aug-26,20:41,Purchase,DELIVEROO,-17.15,GBP,2399.35
11-Aug-26,08:39,Purchase,PRET A MANGER 344,-4.65,GBP,2394.70
11-Aug-26,12:26,Purchase,SAINSBURYS LOCAL 2210,-17.29,GBP,2377.41
11-Aug-26,18:47,Purchase,TESCO EXPRESS 4471,-22.15,GBP,2355.26
11-Aug-26,22:02,Purchase,TFL TRAVEL CHARGE,-8.51,GBP,2346.75
12-Aug-26,03:22,Payment,NETFLIX.COM 8827,-12.99,GBP,2333.76
12-Aug-26,10:19,Purchase,COSTA COFFEE 5521,-11.66,GBP,2322.10
12-Aug-26,12:41,Purchase,PRET A MANGER 344,-4.65,GBP,2317.45
12-Aug-26,20:41,Purchase,DELIVEROO,-24.72,GBP,2292.73
12-Aug-26,22:04,Purchase,UBER TRIP HELP.UBER.COM,-11.80,GBP,2280.93
